forecast_time_local,V10m_Dir,V10m_Km/h,RafaleV10_Km/h,V22m_Dir,V22m_Km/h,RafaleV22_Km/h,V60m_Dir,V60m_Km/h,RafaleV60_Km/h,V70m_Dir,V70m_Km/h,RafaleV70_Km/h,T(°C),Pluie(mm),Pluie(%),Visibilite_km,Temps_sensible
2026-06-11 21:00,SO,13.298848963095809,21.26342010498047,SO,14.455904889303936,23.11342729824913,SO,16.074929107595693,25.70207178990454,SO,16.339268343846065,26.124721618188097,28.0,9.1552734375e-05,10.0,10.0,Assez nuageux
2026-06-11 23:00,SO,11.963242721212168,19.54033470153809,SO,13.07721296801469,21.359854039006716,SO,14.64595029943002,23.92217374019449,SO,14.903119043885749,24.342224010722653,28.0,0.0001373291015625,60.0,6.0,Modérément nuageux
2026-06-12 01:00,SO,11.698441136602613,20.30531616210937,SO,12.795170650058823,22.208940692506605,SO,14.340650845662497,24.89147451283104,SO,14.594113080436056,25.331416104376,27.0,0.0001983642578125,60.0,6.0,Modérément nuageux
2026-06-12 03:00,SO,10.654933364520785,18.079270935058595,SO,11.662310635735938,19.78858679814639,SO,13.083056265053534,22.19930531542624,SO,13.316184128092162,22.594876235880907,28.0,0.0008595784505208334,40.0,6.0,Orages et pluies
2026-06-12 05:00,S,9.19132054504399,17.080044937133792,S,10.066216516777612,18.70584641356963,S,11.300943525295414,21.000314622705076,S,11.5036336350732,21.37696955127068,25.0,0.0014928181966145,30.0,6.0,Averses de pluies faibles
2026-06-12 07:00,S,9.498611741302426,17.30763816833496,S,10.40430972855476,18.95793123010856,S,11.682724690616883,21.28736043460439,S,11.892609123082272,21.669795669690565,25.0,0.0020980834960937,30.0,6.0,Averses de pluies faibles
2026-06-12 09:00,SO,2.1502913866595805,13.39760684967041,SO,2.419414963140392,15.074408372494872,SO,2.811113123659133,17.514923174780126,SO,2.87667596838692,17.923419075874452,25.0,0.0098648071289062,60.0,6.0,Orages et pluies
2026-06-12 11:00,O,6.254670926938256,13.061961364746097,O,6.606457520519491,13.7966159848962,O,7.08285367653213,14.79149936994372,O,7.159033362895911,14.950589453448602,27.0,0.0138473510742187,20.0,8.0,Assez nuageux
2026-06-12 13:00,O,10.876077572594388,16.300701713562013,O,11.313407504709586,16.956157205327294,O,11.895422148045927,17.828461308587542,O,11.98746075831488,17.966405702796852,29.0,0.0140457153320312,10.0,10.0,Assez nuageux
2026-06-12 15:00,SO,11.917000369687033,19.153433418273924,SO,12.450495384420591,20.01088587499049,SO,13.164032157423154,21.15770794843425,SO,13.277229341236945,21.339642550771643,27.0,0.0144119262695312,30.0,8.0,Couvert
2026-06-12 17:00,SO,13.172355487599123,21.965068817138672,SO,13.96153199147043,23.28103058515512,SO,15.034478461496269,25.07018234874141,SO,15.20648414214641,25.3570039894097,,0.0146840413411458,10.0,10.0,
2026-06-12 19:00,SO,14.62326381039094,24.73560791015625,SO,15.740915407940824,26.62614288617913,SO,17.287466410873442,29.2421716823236,SO,17.53819290178649,29.66628166572606,30.0,0.014862060546875,10.0,10.0,Modérément nuageux
2026-06-12 21:00,SO,10.568675398944096,19.76298408508301,SO,11.486940592466858,21.48010186195116,SO,12.77167406842352,23.88250010775608,SO,12.98141686095115,24.274710419286563,28.0,0.0150400797526041,10.0,10.0,Assez nuageux
2026-06-13 03:00,S,9.846741732625809,18.45455474853516,S,10.639200247929956,19.939763709400573,S,11.740469825057488,22.003739820062368,S,11.919493460526544,22.339262124978603,28.0,0.0154342651367187,40.0,6.0,Orages et pluies
2026-06-13 09:00,O,3.696771820794248,18.74785079956055,O,3.845419985414472,19.5017067979894,O,4.043246390974224,20.504965888741385,O,4.074530255823137,20.66361923794783,25.0,0.025342305501302,60.0,6.0,Orages et pluies
2026-06-13 15:00,SO,12.22050328160949,18.09132957458496,SO,12.790938418421424,18.9358062563693,SO,13.55547075543527,20.06762596629564,SO,13.67691948484426,20.247419624504385,27.0,0.0312652587890625,30.0,8.0,Couvert
2026-06-13 21:00,SO,15.26838863235556,26.06355857849121,SO,16.534232132952564,28.22438818686897,SO,18.297865115100137,31.234958106719837,SO,18.58502916065623,31.725155016374533,28.0,0.0313695271809895,10.0,10.0,Assez nuageux
2026-06-14 03:00,S,13.468009001215403,24.16656188964844,S,14.613419351959784,26.221849358479947,S,16.21285708366816,29.091828947035403,S,16.473658276392047,29.55980221348385,28.0,0.032318115234375,40.0,6.0,Orages et pluies
2026-06-14 09:00,S,10.562495647038563,19.49019012451172,S,11.123703644079402,20.52574563404597,S,11.881152666305672,21.9234101582396,S,12.002015520489264,22.14642942241225,25.0,0.0356826782226562,60.0,6.0,Orages et pluies
2026-06-14 15:00,SO,18.169598969552517,29.381417083740235,SO,19.046587719202147,30.79956463198182,SO,20.224013203530507,32.70353781807402,SO,20.41125805242882,33.00632485324647,27.0,0.0371373494466145,30.0,8.0,Couvert
2026-06-14 21:00,SO,18.725904824979686,31.2449089050293,SO,20.34361161340918,33.94411632448077,SO,22.605745206018543,37.71857521940164,SO,22.97493414136541,38.33458148246188,28.0,0.0376230875651041,10.0,10.0,Assez nuageux
