valid_local,wind10_dir,wind10_spd_kt,wind10_gust_kt,wind100_dir,wind100_spd_kt,mslp_hpa,vis_km,t2m_c,rain_pct,sst_c,sw1_dir,sw1_period_s,sw1_ht_m,sw2_dir,sw2_period_s,sw2_ht_m,swh_m,swh_source,cur_dir,cur_spd_ms
2026-05-25 19:00:00,202.5,9,12.0,202.5,9,1012,6.9,28,10,29.6,180.0,9.0,0.7,202.5,14.0,0.6,1.39,ECMWF,135.0,0.14
2026-05-25 22:00:00,225.0,4,9.0,225.0,4,1014,6.5,28,10,29.5,180.0,9.0,0.7,202.5,14.0,0.6,1.4,ECMWF,112.5,0.11
2026-05-26 01:00:00,247.5,6,9.0,247.5,6,1013,7.5,28,10,29.4,180.0,9.0,0.7,202.5,14.0,0.6,1.41,ECMWF,112.5,0.13
2026-05-26 04:00:00,247.5,6,10.0,247.5,6,1012,7.6,28,20,29.3,202.5,10.0,0.7,202.5,15.0,0.5,1.43,ECMWF,135.0,0.16
2026-05-26 07:00:00,0.0,5,7.0,0.0,4,1013,9.3,27,90,29.2,202.5,10.0,0.7,202.5,15.0,0.5,1.46,ECMWF,157.5,0.2
2026-05-26 10:00:00,315.0,3,5.0,315.0,3,1014,8.7,27,100,29.3,202.5,10.0,0.7,202.5,15.0,0.5,1.51,ECMWF,180.0,0.25
2026-05-26 13:00:00,202.5,5,8.0,202.5,6,1013,8.0,27,40,29.8,202.5,10.0,0.8,202.5,15.0,0.6,1.56,ECMWF,180.0,0.26
2026-05-26 16:00:00,225.0,9,12.0,225.0,9,1010,9.0,28,10,30.0,202.5,10.0,0.8,202.5,15.0,0.6,1.61,ECMWF,202.5,0.12
2026-05-26 19:00:00,225.0,11,15.0,225.0,12,1010,7.6,29,10,29.8,202.5,11.0,0.7,202.5,15.0,0.5,1.67,ECMWF,225.0,0.08
2026-05-26 22:00:00,225.0,7,13.0,225.0,7,1013,6.2,28,40,29.7,202.5,11.0,0.8,202.5,15.0,0.5,1.69,ECMWF,292.5,0.07
2026-05-27 01:00:00,247.5,8,11.0,247.5,8,1013,8.0,27,100,29.6,202.5,11.0,0.8,202.5,15.0,0.5,1.7,ECMWF,337.5,0.08
2026-05-27 04:00:00,292.5,2,7.0,292.5,2,1012,8.6,26,100,29.3,202.5,11.0,0.8,202.5,15.0,0.5,1.69,ECMWF,337.5,0.07
2026-05-27 07:00:00,270.0,2,8.0,270.0,2,1013,9.2,26,100,29.1,202.5,11.0,0.9,202.5,15.0,0.5,1.68,ECMWF,292.5,0.03
2026-05-27 10:00:00,225.0,4,7.0,225.0,4,1014,8.1,26,100,29.1,202.5,11.0,0.9,202.5,15.0,0.5,1.66,ECMWF,247.5,0.06
2026-05-27 13:00:00,225.0,7,10.0,225.0,7,1013,7.8,27,30,29.3,202.5,11.0,0.9,202.5,15.0,0.5,1.65,ECMWF,247.5,0.09
2026-05-27 16:00:00,247.5,9,12.0,247.5,9,1010,7.8,28,10,29.5,202.5,11.0,1.0,202.5,11.0,0.7,1.66,ECMWF,247.5,0.11
2026-05-27 19:00:00,225.0,9,13.0,225.0,10,1010,8.3,28,10,29.5,202.5,11.0,1.1,180.0,8.0,0.7,1.66,ECMWF,247.5,0.08
2026-05-27 22:00:00,202.5,9,12.0,202.5,9,1012,7.5,28,20,29.5,202.5,11.0,1.1,180.0,8.0,0.7,1.66,ECMWF,247.5,0.07
2026-05-28 01:00:00,225.0,7,11.0,225.0,8,1013,7.6,28,10,29.4,202.5,12.0,1.1,180.0,6.0,0.7,1.66,ECMWF,247.5,0.07
2026-05-28 04:00:00,225.0,5,9.0,225.0,5,1011,7.3,28,100,29.4,202.5,12.0,1.1,225.0,7.0,0.7,1.64,ECMWF,225.0,0.1
2026-05-28 07:00:00,157.5,8,11.0,135.0,8,1013,8.5,26,100,29.3,202.5,11.0,1.2,157.5,6.0,0.7,1.63,ECMWF,225.0,0.17
2026-05-28 10:00:00,157.5,1,4.0,157.5,1,1014,7.4,27,100,29.4,202.5,11.0,1.2,157.5,6.0,0.6,1.59,ECMWF,225.0,0.24
2026-05-28 13:00:00,180.0,5,8.0,180.0,5,1012,7.7,27,10,29.9,202.5,10.0,1.3,180.0,4.0,0.4,1.56,ECMWF,225.0,0.18
2026-05-28 16:00:00,225.0,9,12.0,225.0,9,1010,8.7,28,10,30.0,202.5,10.0,1.3,180.0,5.0,0.1,1.53,ECMWF,247.5,0.15
2026-05-28 19:00:00,202.5,9,13.0,202.5,9,1010,7.5,28,10,30.0,202.5,10.0,1.3,247.5,10.0,0.1,1.52,ECMWF,270.0,0.14
